Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,135.000000,135.919998,133.199997,134.190002,129.352097,11038600
2020-01-08,134.509995,137.869995,133.919998,135.820007,130.923340,18544000
2020-01-15,136.000000,139.350006,135.710007,139.169998,134.152557,21234200
2020-01-22,143.320007,145.789993,138.100006,139.550003,134.518860,35326600
2020-01-29,139.169998,149.380005,134.970001,149.110001,143.734192,41614800
2020-02-05,150.210007,158.750000,150.149994,153.479996,147.946640,38285600
2020-02-12,153.750000,155.600006,149.639999,151.100006,147.173386,17700700
2020-02-19,151.539993,151.889999,141.259995,141.710007,138.027405,20814200
2020-02-26,142.899994,144.059998,126.360001,128.899994,125.550285,43268700
2020-03-04,131.580002,134.279999,115.760002,124.769997,121.527618,40804100
2020-03-11,121.010002,122.580002,95.000000,106.650002,103.878502,53287600
2020-03-18,99.410004,106.930000,90.559998,105.480003,102.738914,45413600
2020-03-25,105.480003,113.809998,102.830002,110.930000,108.047272,34138300
2020-04-01,106.360001,119.570000,104.519997,114.940002,111.953064,29609900
2020-04-08,116.309998,125.180000,115.070000,123.910004,120.689964,20943800
2020-04-15,119.120003,122.860001,112.059998,116.760002,113.725777,39591600
2020-04-22,119.870003,128.199997,117.550003,126.269997,122.988632,28658700
2020-04-29,128.880005,129.309998,119.389999,122.580002,119.394524,24732400
2020-05-06,123.239998,124.320000,120.260002,120.260002,117.134827,21600900
2020-05-13,119.949997,122.360001,111.809998,120.290001,118.735352,23377200
2020-05-20,120.930000,122.620003,117.589996,121.760002,120.186356,17491700
2020-05-27,123.940002,126.970001,122.239998,126.000000,124.371552,23423100
2020-06-03,127.150002,135.880005,127.000000,131.869995,130.165680,24439300
2020-06-10,132.149994,132.229996,117.839996,125.150002,123.532539,33472300
2020-06-17,125.830002,126.820000,119.230003,119.410004,117.866722,25524700
2020-06-24,118.320000,121.199997,115.879997,120.769997,119.209145,31710700
2020-07-01,120.269997,121.849998,117.330002,117.580002,116.060371,16726300
2020-07-08,118.059998,120.989998,115.199997,120.599998,119.041344,23426600
2020-07-15,122.400002,132.169998,122.150002,126.059998,124.430771,38081500
2020-07-22,125.900002,129.470001,124.150002,124.470001,122.861328,23858200
2020-07-29,124.559998,125.989998,121.089996,125.839996,124.213615,19090800
2020-08-05,126.730003,130.470001,123.209999,126.750000,125.111862,19713000
2020-08-12,127.610001,127.790001,123.910004,124.919998,124.919998,15907400
2020-08-19,124.830002,126.820000,122.309998,124.639999,124.639999,16738700
2020-08-26,124.949997,125.300003,122.150002,123.400002,123.400002,17893800
2020-09-02,123.720001,129.949997,120.709999,121.209999,121.209999,23537700
2020-09-09,122.129997,123.699997,120.239998,122.440002,122.440002,17853900
2020-09-16,122.709999,125.820000,118.580002,120.510002,120.510002,20620500
